CookerStat, GenerateAssetRegistry=0.082429, Initialize=0.211712, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_0, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/RadialProgressBar.uasset, AutoPackageBackupDelegate=0.174336, FlushAsyncLoading=0.007678, FlushStreamingFunc=0.123650, BlockTillAllRequestsFinished=0.020225, ResetLoadersForSaveUnMarkAllObjects=0.549883, TagPackageExports=1.965806, BeginCacheForCookedPlatformData=0.002306, SerializeImports=2.569705, GatherLocalizableTextData=2.836455, MarkNames=0.020478, SerializeSummary=0.017155, SerializeNames=0.090621, SerializeGatherableTextData=0.010751, BuildExportMap=0.064768, SortExportsNonSeekfree=0.133630, SortExportsSeekfreeConstructor=0.071168, SortExportsSeekfreeInner=3.498465, SortExportsSeekfree=0.003330, BuildDependencyMap=0.032254, SerializeImportMap=0.011519, SerializeExportMap=0.013314, SerializeDependencyMap=0.002563, SerializeStringAssetReferenceMap=0.002559, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.425979, SerializeExports=2.845928, SerializeBulkData=0.012543, MoveFile=1.328629, UnaccountedTime=1.561329, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_1, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/QuickSlotFrame.uasset, AutoPackageBackupDelegate=2.530795, FlushAsyncLoading=0.008449, FlushStreamingFunc=0.065535, BlockTillAllRequestsFinished=0.005376, ResetLoadersForSaveUnMarkAllObjects=0.188157, TagPackageExports=0.596475, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.946863, GatherLocalizableTextData=1.971439, MarkNames=0.017151, SerializeSummary=0.011008, SerializeNames=0.091650, SerializeGatherableTextData=0.007421, BuildExportMap=0.073727, SortExportsNonSeekfree=0.085507, SortExportsSeekfreeConstructor=0.081148, SortExportsSeekfreeInner=2.585836, SortExportsSeekfree=0.004862, BuildDependencyMap=0.019714, SerializeImportMap=0.009470, SerializeExportMap=0.011776, SerializeDependencyMap=0.003327, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.335615, SerializeExports=1.434099, SerializeBulkData=0.003841, MoveFile=1.928177, UnaccountedTime=1.599472, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId670CCAE04F6168364D4595A6629B2174_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A98BD4154737C68414C37C850A7CBF70_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.08-14.24.29, Duration=54.584869, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId94CA8433401BF2BDD2C1E2B5597BCAE0_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A98BD4154737C68414C37C850A7CB__47255BF3DB6F6B58DC4476DA4EAF95E78FC01D36, StartTime=2016.05.08-14.24.29, HierarchicalDDC=, DataSize=262407, Duration=8.513972, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionIdB10433DF40D77063F28CE5A739544980_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A98BD4154737C68414C37C850A7CB__5EC4ABA320F86E8A7879F5782EE67A6ACED59B2E, StartTime=2016.05.08-14.24.29, HierarchicalDDC=, DataSize=65799, Duration=7.942844, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId062FEB6A42BBEEB4F5FB6EA6B2DB633E_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A98BD4154737C68414C37C850A7CB__92B2C1333A92B04A340E4CB65602BE6911BD106B, StartTime=2016.05.08-14.24.29, HierarchicalDDC=, DataSize=16647, Duration=3.338981, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId062FEB6A42BBEEB4F5FB6EA6B2DB633E_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A98BD4154737C68414C37C850A7CB__AE10FFCD941FB78C385894FF4BD295CBD4F565A7, StartTime=2016.05.08-14.24.29, HierarchicalDDC=, DataSize=6899, Duration=3.259365, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_2, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/QuickSlotFrame.uasset, AutoPackageBackupDelegate=1.979630, FlushAsyncLoading=0.003330, FlushStreamingFunc=0.083711, BlockTillAllRequestsFinished=0.004608, ResetLoadersForSaveUnMarkAllObjects=0.235002, TagPackageExports=0.681978, BeginCacheForCookedPlatformData=0.001539, SerializeImports=1.590002, GatherLocalizableTextData=31.728874, MarkNames=0.041217, SerializeSummary=0.016637, SerializeNames=0.099842, SerializeGatherableTextData=0.256509, BuildExportMap=0.068866, SortExportsNonSeekfree=0.058364, SortExportsSeekfreeConstructor=0.069123, SortExportsSeekfreeInner=2.625510, SortExportsSeekfree=0.002563, BuildDependencyMap=0.017405, SerializeImportMap=0.009727, SerializeExportMap=0.011776, SerializeDependencyMap=0.002559, SerializeStringAssetReferenceMap=0.001792, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.190720, SerializeExports=1.438960, SerializeBulkData=0.004098, MoveFile=1.694195, UnaccountedTime=1.594096, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId670CCAE04F6168364D4595A6629B2174_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C7E2335746C94EB0BF5128B520F917C6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.08-14.28.01, Duration=17.776485, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
DDCTransactionId062FEB6A42BBEEB4F5FB6EA6B2DB633E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C7E2335746C94EB0BF5128B520F91__FA70AF4EE0977A5745833CB49B97EF37553A2519, StartTime=2016.05.08-14.28.01, HierarchicalDDC=, DataSize=6454, Duration=2.890214, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_3, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/QuickSlotFrame.uasset, AutoPackageBackupDelegate=1.544692, FlushAsyncLoading=0.003327, FlushStreamingFunc=1.561332, BlockTillAllRequestsFinished=0.011776, ResetLoadersForSaveUnMarkAllObjects=0.207357, TagPackageExports=0.646394, BeginCacheForCookedPlatformData=0.001539, SerializeImports=1.313012, GatherLocalizableTextData=28.050699, MarkNames=0.035841, SerializeSummary=0.013053, SerializeNames=0.100609, SerializeGatherableTextData=0.262909, BuildExportMap=0.087552, SortExportsNonSeekfree=0.074752, SortExportsSeekfreeConstructor=0.064768, SortExportsSeekfreeInner=2.819814, SortExportsSeekfree=0.003841, BuildDependencyMap=0.020482, SerializeImportMap=0.010494, SerializeExportMap=0.012290, SerializeDependencyMap=0.002306, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.236545, SerializeExports=1.604848, SerializeBulkData=0.003330, MoveFile=1.837295, UnaccountedTime=1.592562, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
